      Beta             Mach             AoA             Re/1e6             CL              CDo              CDi             CDtot             CDt            CDtot_t             CS              L/D               E               CFx              CFy              CFz              CMx              CMy              CMz              CMl              CMm              CMn              FOpt 
-15.000000000000   0.050000000000 -20.000000000000   0.366000000000  -0.015609124417   0.012555928757   0.034700781283   0.047256710040   0.042961617761   0.055517546518   0.307337378689  -0.330304932436   0.001794047311  -0.037192608113   0.309096048027  -0.003073880964  -0.002585125941   0.008498578875  -0.048940025604   0.002585125941   0.008498578875   0.048940025604   0.000000000000
-15.000000000000   0.050000000000 -19.000000000000   0.366000000000  -0.014799681187   0.012521314096   0.035219571215   0.047740885311   0.042874693827   0.055396007922   0.310418926452  -0.310000141201   0.001596447135  -0.037181681140   0.312197908377  -0.002849769374   0.001599181651   0.008439783030  -0.048682038888  -0.001599181651   0.008439783030   0.048682038888   0.000000000000
-15.000000000000   0.050000000000 -18.000000000000   0.366000000000  -0.013988009357   0.012488203849   0.035727522353   0.048215726202   0.042794006280   0.055282210129   0.313397006979  -0.290113007910   0.001412093345  -0.037172308964   0.315197411138  -0.002629848094   0.005788947951   0.008383576097  -0.048408835886  -0.005788947951   0.008383576097   0.048408835886   0.000000000000
-15.000000000000   0.050000000000 -17.000000000000   0.366000000000  -0.013156773271   0.012456490880   0.036215912041   0.048672402921   0.042842577700   0.055299068580   0.316258344221  -0.270312794959   0.001237531562  -0.037164088428   0.318079447310  -0.002395727271   0.009980691436   0.008316010244  -0.048129254460  -0.009980691436   0.008316010244   0.048129254460   0.000000000000
-15.000000000000   0.050000000000 -16.000000000000   0.366000000000  -0.012334465065   0.012426454539   0.036696302106   0.049122756645   0.042754302370   0.055180756909   0.319013360247  -0.251094724878   0.001077700783  -0.037157229527   0.320857148562  -0.002176872934   0.014177720228   0.008259555979  -0.047835094876  -0.014177720228   0.008259555979   0.047835094876   0.000000000000
-15.000000000000   0.050000000000 -15.000000000000   0.366000000000  -0.011508520222   0.012397967934   0.037158322970   0.049556290904   0.042664473793   0.055062441727   0.321637928265  -0.232231266948   0.000929994686  -0.037151457409   0.323504493516  -0.001959793847   0.018368315965   0.008203826234  -0.047543288075  -0.018368315965   0.008203826234   0.047543288075   0.000000000000
-15.000000000000   0.050000000000 -14.000000000000   0.366000000000  -0.010677903063   0.012371085511   0.037605386278   0.049976471789   0.042591810351   0.054962895862   0.324145629515  -0.213658601356   0.000793864982  -0.037146605335   0.326035497733  -0.001743103509   0.022560082309   0.008147766376  -0.047241724932  -0.022560082309   0.008147766376   0.047241724932   0.000000000000
-15.000000000000   0.050000000000 -13.000000000000   0.366000000000  -0.009846958271   0.012346021117   0.038039241502   0.050385262618   0.042493531480   0.054839552597   0.326540611212  -0.195433302495   0.000669639339  -0.037142842855   0.328454675260  -0.001530872779   0.026747037224   0.008094233748  -0.046929035847  -0.026747037224   0.008094233748   0.046929035847   0.000000000000
-15.000000000000   0.050000000000 -12.000000000000   0.366000000000  -0.009011009393   0.012322656367   0.038455650157   0.050778306524   0.042395747238   0.054718403606   0.328809832565  -0.177457855727   0.000556427982  -0.037139793296   0.330748302019  -0.001318013939   0.030931092448   0.008039785511  -0.046611554845  -0.030931092448   0.008039785511   0.046611554845   0.000000000000
-15.000000000000   0.050000000000 -11.000000000000   0.366000000000  -0.008166164811   0.012300976823   0.038853756971   0.051154733794   0.042371056294   0.054672033117   0.330953990219  -0.159636542020   0.000453618484  -0.037137762678   0.332916825819  -0.001100158636   0.035105474713   0.007980704048  -0.046290375058  -0.035105474713   0.007980704048   0.046290375058   0.000000000000
-15.000000000000   0.050000000000 -10.000000000000   0.366000000000  -0.007326815241   0.012281238781   0.039238109606   0.051519348388   0.042276702639   0.054557941420   0.332979089871  -0.142214827443   0.000362577132  -0.037136485972   0.334967291075  -0.000891678730   0.039268498411   0.007928195352  -0.045960736864  -0.039268498411   0.007928195352   0.045960736864   0.000000000000
-15.000000000000   0.050000000000  -9.000000000000   0.366000000000  -0.006533340567   0.012263314145   0.039638899032   0.051902213177   0.042209125162   0.054472439307   0.334990054709  -0.125877880095   0.000286170596  -0.037139943353   0.337008826647  -0.000732390337   0.043421314617   0.007902469934  -0.045717905635  -0.043421314617   0.007902469934   0.045717905635   0.000000000000
-15.000000000000   0.050000000000  -8.000000000000   0.366000000000  -0.005688025030   0.012247275949   0.039993286300   0.052240562249   0.042134536349   0.054381812298   0.336784603707  -0.108881389957   0.000215504055  -0.037140163416   0.338829799054  -0.000524214941   0.047578209130   0.007849243013  -0.045366616481  -0.047578209130   0.007849243013   0.045366616481   0.000000000000
