      Beta             Mach             AoA             Re/1e6             CL              CDo              CDi             CDtot             CDt            CDtot_t             CS              L/D               E               CFx              CFy              CFz              CMx              CMy              CMz              CMl              CMm              CMn              FOpt 
-30.000000000000   0.100000000000 -30.000000000000   2.300000000000  -1.309316909424   0.017192543301   0.162664770248   0.179857313549   0.199066068906   0.216258612207  -0.087285035587  -7.279753508988   0.758770126352  -0.481969940456   0.014337598586  -1.233603465357   0.021080035483  -0.062435896451   0.007055625102  -0.021080035483  -0.062435896451  -0.007055625102   0.000000000000
-30.000000000000   0.100000000000 -28.000000000000   2.300000000000  -1.232190258592   0.016320157518   0.143355207530   0.159675365049   0.172456484577   0.188776642095  -0.077024554638  -7.716846353952   0.756948612280  -0.422377390249   0.013132461492  -1.170959741516   0.019683705953  -0.060993063001   0.006114710192  -0.019683705953  -0.060993063001  -0.006114710192   0.000000000000
-30.000000000000   0.100000000000 -26.000000000000   2.300000000000  -1.152384418821   0.015441016700   0.124797235360   0.140238252060   0.147680083980   0.163121100680  -0.067114595203  -8.217333016461   0.753836285207  -0.365852542890   0.011996181619  -1.103706932777   0.018323386956  -0.059281000788   0.005245128606  -0.018323386956  -0.059281000788  -0.005245128606   0.000000000000
-30.000000000000   0.100000000000 -24.000000000000   2.300000000000  -1.069661136592   0.014564382038   0.107047104975   0.121611487013   0.125308554746   0.139872936784  -0.057611290425  -8.795724506500   0.748973769428  -0.312541751019   0.010912902454  -1.031737332912   0.017088271164  -0.057419444040   0.004425290979  -0.017088271164  -0.057419444040  -0.004425290979   0.000000000000
-30.000000000000   0.100000000000 -22.000000000000   2.300000000000  -0.985061102654   0.013713871268   0.090471723196   0.104185594465   0.105492467405   0.119206338673  -0.048759090789  -9.454868571001   0.741425364413  -0.262748700992   0.009866185944  -0.956265256867   0.015607069628  -0.055091423689   0.003672676007  -0.015607069628  -0.055091423689  -0.003672676007   0.000000000000
-30.000000000000   0.100000000000 -20.000000000000   2.300000000000  -0.898191472584   0.012896557315   0.074981595836   0.087878153151   0.086654507242   0.099551064557  -0.040397665212 -10.220873338581   0.730812061888  -0.216703844963   0.008953672249  -0.876961651333   0.014149430075  -0.052530172412   0.003017337617  -0.014149430075  -0.052530172412  -0.003017337617   0.000000000000
-30.000000000000   0.100000000000 -18.000000000000   2.300000000000  -0.808761761880   0.012120312922   0.060599076937   0.072719389859   0.069464720315   0.081585033237  -0.032656767094 -11.121679698463   0.716044092044  -0.174497380175   0.008078105021  -0.793684805265   0.012875928553  -0.049900275098   0.002414869797  -0.012875928553  -0.049900275098  -0.002414869797   0.000000000000
-30.000000000000   0.100000000000 -16.000000000000   2.300000000000  -0.717819578971   0.011406318256   0.047616750513   0.059023068770   0.053727286503   0.065133604759  -0.025634122133 -12.161678373109   0.694956444296  -0.136401990768   0.007311733414  -0.707634661593   0.011435271674  -0.046944972499   0.001903469687  -0.011435271674  -0.046944972499  -0.001903469687   0.000000000000
-30.000000000000   0.100000000000 -14.000000000000   2.300000000000  -0.624924197379   0.010758307461   0.036020761240   0.046779068700   0.040449733201   0.051208040662  -0.019387295104 -13.359055978267   0.664587063868  -0.102468655218   0.006599644279  -0.618507089970   0.010067623907  -0.043885519451   0.001447204306  -0.010067623907  -0.043885519451  -0.001447204306   0.000000000000
-30.000000000000   0.100000000000 -12.000000000000   2.300000000000  -0.530534200922   0.010188392383   0.025927565614   0.036115957997   0.028797858895   0.038986251278  -0.013933943345 -14.689744654309   0.620406594486  -0.072895683876   0.005990830087  -0.526892194642   0.008661566027  -0.040655733026   0.001070032576  -0.008661566027  -0.040655733026  -0.001070032576   0.000000000000
-30.000000000000   0.100000000000 -10.000000000000   2.300000000000  -0.434716134644   0.009704184324   0.017402359224   0.027106543548   0.019217584235   0.028921768559  -0.009334755066 -16.037313421128   0.554991266566  -0.047772877001   0.005469136749  -0.432998684573   0.007303412701  -0.037334878426   0.000760608087  -0.007303412701  -0.037334878426  -0.000760608087   0.000000000000
-30.000000000000   0.100000000000  -8.000000000000   2.300000000000  -0.337719075773   0.009313377365   0.010515236741   0.019828614106   0.011551939326   0.020865316691  -0.005622310239 -17.031905203583   0.457896786911  -0.027212647877   0.005045243558  -0.337213546234   0.005943941418  -0.033922784728   0.000525022303  -0.005943941418  -0.033922784728  -0.000525022303   0.000000000000
-30.000000000000   0.100000000000  -6.000000000000   2.300000000000  -0.239821318512   0.009021980645   0.005328303079   0.014350283725   0.005823545311   0.014845525957  -0.002827940044 -16.711956579452   0.319053753114  -0.011302299777   0.004726073944  -0.239954401805   0.004586497877  -0.030435295504   0.000363812840  -0.004586497877  -0.030435295504  -0.000363812840   0.000000000000
-30.000000000000   0.100000000000  -4.000000000000   2.300000000000  -0.141263364203   0.008834409606   0.001882429018   0.010716838623   0.002059474284   0.010893883889  -0.000978360795 -13.181439897650   0.148231727979  -0.000107599064   0.004511134009  -0.141600790882   0.003244425093  -0.026895728834   0.000276508626  -0.003244425093  -0.026895728834  -0.000276508626   0.000000000000
-30.000000000000   0.100000000000  -2.000000000000   2.300000000000  -0.042237914518   0.008753559058   0.000211895341   0.008965454399   0.000237646693   0.008991205751  -0.000078161231  -4.711185026298   0.015840956473   0.006324556307   0.004415037588  -0.042484518771   0.002042063515  -0.023349802877   0.000264413108  -0.002042063515  -0.023349802877  -0.000264413108   0.000000000000
