      Beta             Mach             AoA             Re/1e6             CL              CDo              CDi             CDtot             CDt            CDtot_t             CS              L/D               E               CFx              CFy              CFz              CMx              CMy              CMz              CMl              CMm              CMn              FOpt 
-30.000000000000   0.100000000000 -30.000000000000   5.700000000000  -1.368026785481   0.017490108985   0.107860400390   0.125350509375   0.116674299726   0.134164408710  -0.057984269218 -10.913611698158   0.641721165076  -0.564892585628   0.012459404524  -1.253520379337   0.009948313187  -0.066142783107   0.016611407569  -0.009948313187  -0.066142783107  -0.016611407569   0.000000000000
-30.000000000000   0.100000000000 -28.000000000000   5.700000000000  -1.263813778642   0.016113402147   0.091646204328   0.107759606476   0.098687608896   0.114801011043  -0.049218774680 -11.728084576188   0.637079220371  -0.489196903610   0.011255094022  -1.171247027749   0.008509469760  -0.064359032709   0.014539673453  -0.008509469760  -0.064359032709  -0.014539673453   0.000000000000
-30.000000000000   0.100000000000 -26.000000000000   5.700000000000  -1.157662759589   0.014785414519   0.076577414797   0.091362829316   0.082070389934   0.096855804453  -0.041092256200 -12.671047604996   0.630489488219  -0.417904353980   0.010094476890  -1.084192260395   0.007127818830  -0.062379609385   0.012589041096  -0.007127818830  -0.062379609385  -0.012589041096   0.000000000000
-30.000000000000   0.100000000000 -24.000000000000   5.700000000000  -1.049820630625   0.013525851938   0.062733195419   0.076259047357   0.066853032308   0.080378884246  -0.033581031813 -13.766505968998   0.621186623714  -0.351329001741   0.009047497043  -0.992749998650   0.005791932948  -0.060278176759   0.010778902889  -0.005791932948  -0.060278176759  -0.010778902889   0.000000000000
-30.000000000000   0.100000000000 -22.000000000000   5.700000000000  -0.940215999232   0.012349053159   0.050146802411   0.062495855570   0.053412315479   0.065761368638  -0.026696006874 -15.044453598731   0.607977239429  -0.289653088849   0.008128507652  -0.897028176504   0.004448678130  -0.058133824214   0.009111468844  -0.004448678130  -0.058133824214  -0.009111468844   0.000000000000
-30.000000000000   0.100000000000 -20.000000000000   5.700000000000  -0.829196647745   0.011272158330   0.038878405987   0.050150564317   0.041351681401   0.052623839732  -0.020537985845 -16.534143913158   0.589281105002  -0.233139846475   0.007288864675  -0.797556677003   0.003173244742  -0.055901086197   0.007575717577  -0.003173244742  -0.055901086197  -0.007575717577   0.000000000000
-30.000000000000   0.100000000000 -18.000000000000   5.700000000000  -0.716730436464   0.010307199248   0.028961117437   0.039268316685   0.030894119344   0.041201318592  -0.015107683330 -18.252130393486   0.562280050299  -0.181954833762   0.006550520786  -0.694494269590   0.001927847802  -0.053637099504   0.006179307090  -0.001927847802  -0.053637099504  -0.006179307090   0.000000000000
-30.000000000000   0.100000000000 -16.000000000000   5.700000000000  -0.603168664096   0.009468637944   0.020461056285   0.029929694229   0.021890361036   0.031358998981  -0.010450989955 -20.152850860279   0.522466593230  -0.136316964008   0.005914024319  -0.588387760559   0.000682039897  -0.051351676976   0.004930107443  -0.000682039897  -0.051351676976  -0.004930107443   0.000000000000
-30.000000000000   0.100000000000 -14.000000000000   5.700000000000  -0.488495333188   0.008765649650   0.013389572473   0.022155222123   0.014451203692   0.023216853342  -0.006581488327 -22.048767124329   0.462943503931  -0.096367672273   0.005377874975  -0.479422788991  -0.000506362693  -0.049103450654   0.003818621585   0.000506362693  -0.049103450654  -0.003818621585   0.000000000000
-30.000000000000   0.100000000000 -12.000000000000   5.700000000000  -0.372925347050   0.008207867295   0.007787084922   0.015994952217   0.008535077869   0.016742945164  -0.003522544457 -23.315189816507   0.373718091998  -0.062263420496   0.004946863123  -0.368022222565  -0.001698896503  -0.046869202397   0.002856369161   0.001698896503  -0.046869202397  -0.002856369161   0.000000000000
